,profile_id,orgc_stock_mineral,orgc_stock_organic,top_cm,bot_cm,mineral_fraction,organic_fraction,obs_date_yyyy,lat_dd,long_dd
9713,S1991NM029002_91P0002,2.6888400000000003,0.0,0.0,30.0,1.0,0.0,1991,32.52806,-107.40694
9714,S1991NM029003_91P0003,1.2608,0.0,0.0,30.0,1.0,0.0,1991,32.52694,-107.37444
9715,S1991NM023001_91P0004,1.91376,0.0,0.0,30.0,1.0,0.0,1991,32.37056,-108.55278
9716,S1991NM023002_91P0005,2.2935,0.0,0.0,30.0,1.0,0.0,1991,32.34361,-108.68027
9717,S1991NM023003_91P0006,0.8547200000000001,0.0,0.0,30.0,1.0,0.0,1991,32.39778,-108.59972
9718,S1991NM023004_91P0007,2.0621000000000005,0.0,0.0,30.0,1.0,0.0,1991,32.03139,-108.92722
9719,S1991NM023005_91P0008,3.2988500000000007,0.0,0.0,30.0,1.0,0.0,1991,31.46833,-108.89806
9720,91NM023006_91P0009,2.28344,0.0,0.0,30.0,1.0,0.0,1905,31.72042,-108.34172
9721,90TX245022_91P0031,4.840999999999999,0.0,0.0,30.0,1.0,0.0,2010,29.99278,-94.33528
9722,90TX245023_91P0032,6.557129999999999,0.0,0.0,30.0,1.0,0.0,2010,29.99278,-94.33528
9723,S1990OK061001_91P0058,2.48884,0.0,0.0,30.0,1.0,0.0,1990,35.28667,-95.10167
9724,S1990OK061004_91P0061,2.93154,0.0,0.0,30.0,1.0,0.0,1990,35.18639,-95.08111
9725,S1990OK061007_91P0064,5.01052,0.0,0.0,30.0,1.0,0.0,1990,35.10917,-95.16583
9726,S1990OK061008_91P0065,3.75652,0.0,0.0,30.0,1.0,0.0,1990,35.26167,-95.30861
9727,S1991OK107002_91P0149,7.118900000000001,0.0,0.0,30.0,1.0,0.0,1991,35.48917,-96.11056
9728,S1991OK107003_91P0150,4.233599999999999,0.0,0.0,30.0,1.0,0.0,1991,35.49611,-96.11111
9729,S1991OK107004_91P0151,5.670000000000002,0.0,0.0,30.0,1.0,0.0,1991,35.42222,-96.11889
9730,S1991OK107005_91P0152,2.36838,0.0,0.0,30.0,1.0,0.0,1991,35.40083,-96.09167
9731,S1991OK107006_91P0153,2.5727899999999995,0.0,0.0,30.0,1.0,0.0,1991,35.40083,-96.09194
9732,S1991OK107008_91P0155,4.701600000000001,0.0,0.0,30.0,1.0,0.0,1991,35.48139,-96.26222
9733,S1990NC121001_91P0214,7.401199999999999,0.0,0.0,30.0,1.0,0.0,1990,35.88417,-82.00389
9734,S1990NC121002_91P0215,5.2477599999999995,0.0,0.0,30.0,1.0,0.0,1990,35.88417,-82.00389
9735,S1990NC121003_91P0216,6.08264,0.0,0.0,30.0,1.0,0.0,1990,35.9475,-82.05833
